oblast,month,alerts
Вінницька область,2022-02,1
Київська область,2022-02,1
Миколаївська,2022-02,1
м. Київ,2022-02,2
Волинська область,2022-03,3
Дніпропетровська,2022-03,3
Дніпропетровська область,2022-03,1
Донецька,2022-03,1
Донецька область,2022-03,11
Запорізька область,2022-03,4
Київська область,2022-03,7
Луганська область,2022-03,8
Львівська,2022-03,1
Миколаївська область,2022-03,3
Одеська,2022-03,1
Одеська область,2022-03,1
Сумська,2022-03,1
Сумська область,2022-03,2
Харківська,2022-03,2
Харківська область,2022-03,7
Херсонська область,2022-03,6
Хмельницька область,2022-03,1
Чернігівська область,2022-03,5
м. Київ,2022-03,4
Волинська,2022-04,1
Волинська область,2022-04,12
Дніпропетровська область,2022-04,2
Донецька,2022-04,1
Донецька область,2022-04,19
Запорізька область,2022-04,7
Луганська область,2022-04,18
Львівська область,2022-04,2
Миколаївська область,2022-04,4
Одеська область,2022-04,3
Сумська область,2022-04,4
Харківська,2022-04,1
Харківська область,2022-04,5
Херсонська область,2022-04,6
Чернігівська область,2022-04,2
м. Київ,2022-04,1
Волинська,2022-05,3
Волинська область,2022-05,17
Вінницька,2022-05,1
Вінницька область,2022-05,2
Дніпропетровська область,2022-05,2
Донецька область,2022-05,20
Закарпатська область,2022-05,1
Запорізька область,2022-05,10
Київська область,2022-05,1
Кіровоградська область,2022-05,1
Луганська,2022-05,2
Луганська область,2022-05,19
Львівська область,2022-05,2
Миколаївська область,2022-05,5
Одеська область,2022-05,6
Сумська область,2022-05,11
Харківська,2022-05,1
Харківська область,2022-05,14
Херсонська область,2022-05,11
Хмельницька область,2022-05,1
Черкаська область,2022-05,3
Чернівецька область,2022-05,2
Чернігівська область,2022-05,7
Волинська,2022-06,14
Волинська область,2022-06,11
Вінницька,2022-06,2
Вінницька область,2022-06,1
Донецька,2022-06,10
Донецька область,2022-06,12
Запорізька область,2022-06,10
Київська область,2022-06,1
Луганська,2022-06,6
Луганська область,2022-06,5
Миколаївська,2022-06,1
Миколаївська область,2022-06,3
Одеська область,2022-06,1
Сумська область,2022-06,9
Харківська область,2022-06,11
Херсонська область,2022-06,5
Хмельницька,2022-06,1
Черкаська область,2022-06,2
Чернігівська область,2022-06,6
м. Київ,2022-06,1
Волинська,2022-07,17
Волинська область,2022-07,11
Дніпропетровська область,2022-07,2
Донецька,2022-07,10
Донецька область,2022-07,7
Житомирська,2022-07,1
Закарпатська,2022-07,1
Запорізька область,2022-07,12
Луганська,2022-07,3
Луганська область,2022-07,7
Львівська область,2022-07,1
Миколаївська область,2022-07,4
Сумська область,2022-07,9
Харківська,2022-07,5
Харківська область,2022-07,11
Херсонська область,2022-07,2
Хмельницька,2022-07,1
Хмельницька область,2022-07,2
Черкаська область,2022-07,4
Чернігівська область,2022-07,9
Волинська,2022-08,14
Волинська область,2022-08,6
Вінницька область,2022-08,2
Дніпропетровська область,2022-08,1
Донецька,2022-08,2
Донецька область,2022-08,4
Житомирська,2022-08,1
Закарпатська,2022-08,1
Запорізька область,2022-08,7
Луганська область,2022-08,1
Львівська область,2022-08,1
Одеська область,2022-08,1
Сумська область,2022-08,5
Харківська область,2022-08,7
Херсонська,2022-08,1
Хмельницька,2022-08,2
Черкаська область,2022-08,1
Чернігівська область,2022-08,4
Дніпропетровська область,2022-09,2
Вінницька,2022-10,1
Вінницька область,2022-10,1
Запорізька область,2022-10,2
Київська область,2022-10,2
Херсонська область,2022-10,1
Чернігівська область,2022-10,1
Дніпропетровська область,2022-11,1
Херсонська область,2022-11,1
Вінницька область,2022-12,1
Житомирська область,2022-12,1
Київська область,2022-12,2
Хмельницька область,2022-12,1
м. Київ,2022-12,1
Вінницька область,2023-01,1
Херсонська область,2023-01,1
м. Київ,2023-01,1
Вінницька область,2023-02,1
Запорізька область,2023-02,1
Харківська область,2023-02,1
Хмельницька область,2023-02,1
Одеська область,2023-03,1
Харківська область,2023-03,1
Херсонська область,2023-03,2
Дніпропетровська область,2023-05,1
Запорізька область,2023-05,2
Київська область,2023-05,1
Харківська область,2023-05,1
Херсонська область,2023-05,1
Івано-Франківська область,2023-06,1
Волинська область,2023-06,1
Вінницька область,2023-06,5
Дніпропетровська область,2023-06,18
Донецька область,2023-06,27
Житомирська область,2023-06,4
Запорізька область,2023-06,24
Київська область,2023-06,9
Кіровоградська область,2023-06,10
Луганська область,2023-06,2
Миколаївська область,2023-06,9
Одеська область,2023-06,7
Полтавська область,2023-06,11
Рівненська область,2023-06,2
Сумська область,2023-06,16
Тернопільська область,2023-06,2
Харківська,2023-06,1
Харківська область,2023-06,20
Херсонська,2023-06,1
Херсонська область,2023-06,13
Хмельницька область,2023-06,4
Черкаська область,2023-06,9
Чернівецька область,2023-06,3
Чернігівська область,2023-06,11
м. Київ,2023-06,2
Вінницька область,2023-07,7
Дніпропетровська область,2023-07,19
Донецька область,2023-07,18
Житомирська область,2023-07,2
Запорізька область,2023-07,28
Київська область,2023-07,8
Кіровоградська область,2023-07,10
Львівська область,2023-07,1
Миколаївська область,2023-07,15
Одеська,2023-07,1
Одеська область,2023-07,17
Полтавська область,2023-07,15
Сумська область,2023-07,34
Харківська область,2023-07,14
Херсонська область,2023-07,16
Хмельницька область,2023-07,1
Черкаська область,2023-07,11
Чернігівська область,2023-07,15
м. Київ,2023-07,1
Івано-Франківська область,2023-08,1
Вінницька область,2023-08,6
Дніпропетровська область,2023-08,48
Донецька,2023-08,1
Донецька область,2023-08,44
Житомирська область,2023-08,6
Запорізька область,2023-08,73
Київська область,2023-08,12
Кіровоградська область,2023-08,18
Миколаївська область,2023-08,19
Одеська,2023-08,1
Одеська область,2023-08,11
Полтавська,2023-08,1
Полтавська область,2023-08,18
Рівненська область,2023-08,1
Сумська область,2023-08,25
Тернопільська область,2023-08,1
Харківська,2023-08,1
Харківська область,2023-08,31
Херсонська область,2023-08,18
Хмельницька область,2023-08,1
Черкаська область,2023-08,9
Чернігівська область,2023-08,11
Івано-Франківська область,2023-09,1
Вінницька область,2023-09,9
Дніпропетровська область,2023-09,54
Донецька область,2023-09,32
Житомирська область,2023-09,1
Запорізька область,2023-09,58
Київська область,2023-09,2
Кіровоградська область,2023-09,13
Миколаївська область,2023-09,31
Одеська область,2023-09,16
Полтавська область,2023-09,10
Рівненська область,2023-09,1
Сумська область,2023-09,44
Тернопільська область,2023-09,2
Харківська область,2023-09,33
Херсонська область,2023-09,27
Хмельницька область,2023-09,4
Черкаська область,2023-09,6
Чернівецька область,2023-09,2
Чернігівська область,2023-09,5
Вінницька область,2023-10,1
Дніпропетровська область,2023-10,63
Донецька область,2023-10,46
Запорізька область,2023-10,61
Київська область,2023-10,3
Кіровоградська область,2023-10,31
Миколаївська область,2023-10,40
Одеська область,2023-10,16
Полтавська область,2023-10,26
Сумська область,2023-10,46
Харківська область,2023-10,52
Херсонська область,2023-10,48
Черкаська область,2023-10,10
Чернігівська область,2023-10,10
Івано-Франківська область,2023-11,1
Вінницька область,2023-11,3
Дніпропетровська область,2023-11,55
Донецька область,2023-11,37
Житомирська область,2023-11,1
Запорізька область,2023-11,49
Київська область,2023-11,6
Кіровоградська область,2023-11,22
Львівська область,2023-11,1
Миколаївська область,2023-11,26
Одеська,2023-11,1
Одеська область,2023-11,19
Полтавська область,2023-11,12
Сумська область,2023-11,22
Харківська область,2023-11,39
Херсонська область,2023-11,36
Хмельницька область,2023-11,3
Черкаська область,2023-11,8
Чернівецька область,2023-11,2
Чернігівська область,2023-11,17
Вінницька область,2023-12,1
Дніпропетровська,2023-12,1
Дніпропетровська область,2023-12,29
Донецька область,2023-12,10
Запорізька область,2023-12,29
Київська область,2023-12,14
Кіровоградська область,2023-12,15
Миколаївська область,2023-12,14
Одеська область,2023-12,7
Полтавська область,2023-12,7
Сумська область,2023-12,9
Харківська область,2023-12,38
Херсонська область,2023-12,16
Хмельницька область,2023-12,4
Черкаська область,2023-12,6
Чернігівська область,2023-12,8
м. Київ,2023-12,2
Івано-Франківська область,2024-01,1
Волинська,2024-01,1
Волинська область,2024-01,1
Вінницька,2024-01,1
Вінницька область,2024-01,4
Дніпропетровська,2024-01,3
Дніпропетровська область,2024-01,32
Донецька область,2024-01,21
Житомирська область,2024-01,2
Запорізька область,2024-01,22
Київська область,2024-01,3
Кіровоградська,2024-01,1
Кіровоградська область,2024-01,14
Луганська область,2024-01,1
Львівська,2024-01,1
Львівська область,2024-01,2
Миколаївська область,2024-01,21
Одеська область,2024-01,8
Полтавська область,2024-01,9
Рівненська область,2024-01,2
Сумська область,2024-01,11
Тернопільська область,2024-01,2
Харківська,2024-01,1
Харківська область,2024-01,36
Херсонська область,2024-01,16
Хмельницька область,2024-01,7
Черкаська область,2024-01,5
Чернігівська,2024-01,1
Чернігівська область,2024-01,2
м. Київ,2024-01,1
Івано-Франківська область,2024-02,1
Вінницька область,2024-02,5
Дніпропетровська область,2024-02,26
Донецька область,2024-02,10
Запорізька область,2024-02,16
Київська область,2024-02,1
Кіровоградська область,2024-02,8
Львівська область,2024-02,4
Миколаївська область,2024-02,9
Одеська,2024-02,1
Одеська область,2024-02,6
Полтавська область,2024-02,10
Сумська область,2024-02,10
Тернопільська область,2024-02,3
Харківська область,2024-02,29
Херсонська область,2024-02,9
Хмельницька область,2024-02,5
Черкаська область,2024-02,3
Чернігівська область,2024-02,2
м. Київ,2024-02,2
Івано-Франківська область,2024-03,1
Волинська область,2024-03,1
Вінницька область,2024-03,7
Дніпропетровська область,2024-03,38
Донецька область,2024-03,18
Житомирська область,2024-03,1
Запорізька область,2024-03,24
Київська область,2024-03,9
Кіровоградська область,2024-03,12
Львівська область,2024-03,2
Миколаївська область,2024-03,9
Одеська область,2024-03,13
Полтавська область,2024-03,25
Сумська область,2024-03,31
Харківська область,2024-03,44
Херсонська область,2024-03,9
Хмельницька область,2024-03,4
Черкаська область,2024-03,12
Чернігівська область,2024-03,12
м. Київ,2024-03,3
Вінницька область,2024-04,2
Дніпропетровська,2024-04,1
Дніпропетровська область,2024-04,22
Донецька область,2024-04,10
Житомирська область,2024-04,4
Запорізька область,2024-04,14
Київська область,2024-04,6
Кіровоградська,2024-04,1
Кіровоградська область,2024-04,1
Луганська область,2024-04,1
Львівська область,2024-04,2
Миколаївська,2024-04,1
Миколаївська область,2024-04,11
Одеська область,2024-04,4
Полтавська,2024-04,3
Полтавська область,2024-04,7
Сумська область,2024-04,9
Харківська область,2024-04,28
Херсонська область,2024-04,6
Хмельницька область,2024-04,1
Черкаська область,2024-04,5
Чернігівська область,2024-04,9
м. Київ,2024-04,1
Івано-Франківська область,2024-05,2
Вінницька область,2024-05,6
Дніпропетровська область,2024-05,16
Донецька область,2024-05,5
Житомирська область,2024-05,2
Запорізька область,2024-05,8
Київська область,2024-05,8
Кіровоградська область,2024-05,8
Львівська область,2024-05,1
Миколаївська,2024-05,1
Миколаївська область,2024-05,10
Одеська область,2024-05,9
Полтавська,2024-05,1
Полтавська область,2024-05,15
Сумська,2024-05,1
Сумська область,2024-05,10
Тернопільська область,2024-05,2
Харківська область,2024-05,31
Херсонська область,2024-05,9
Хмельницька область,2024-05,5
Черкаська область,2024-05,4
Чернігівська область,2024-05,8
м. Київ,2024-05,1
Вінницька,2024-06,2
Вінницька область,2024-06,2
Дніпропетровська область,2024-06,31
Донецька,2024-06,1
Донецька область,2024-06,17
Житомирська,2024-06,2
Житомирська область,2024-06,2
Запорізька область,2024-06,19
Київська область,2024-06,11
Кіровоградська,2024-06,1
Кіровоградська область,2024-06,7
Львівська,2024-06,1
Миколаївська область,2024-06,12
Одеська область,2024-06,8
Полтавська область,2024-06,12
Сумська область,2024-06,10
Тернопільська область,2024-06,1
Харківська область,2024-06,17
Херсонська область,2024-06,5
Хмельницька,2024-06,1
Хмельницька область,2024-06,4
Черкаська область,2024-06,7
Чернігівська,2024-06,1
Чернігівська область,2024-06,6
м. Київ,2024-06,1
Івано-Франківська область,2024-07,1
Вінницька область,2024-07,2
Дніпропетровська область,2024-07,21
Донецька область,2024-07,15
Житомирська область,2024-07,4
Запорізька область,2024-07,10
Київська,2024-07,1
Київська область,2024-07,8
Кіровоградська область,2024-07,4
Львівська область,2024-07,1
Миколаївська область,2024-07,7
Одеська область,2024-07,6
Полтавська область,2024-07,17
Сумська область,2024-07,18
Харківська область,2024-07,29
Херсонська область,2024-07,10
Хмельницька область,2024-07,2
Черкаська область,2024-07,5
Чернігівська область,2024-07,12
Івано-Франківська область,2024-08,1
Вінницька область,2024-08,6
Дніпропетровська область,2024-08,15
Донецька область,2024-08,12
Житомирська область,2024-08,4
Запорізька область,2024-08,10
Київська,2024-08,1
Київська область,2024-08,13
Кіровоградська область,2024-08,11
Миколаївська область,2024-08,14
Одеська область,2024-08,15
Полтавська область,2024-08,32
Рівненська область,2024-08,2
Сумська область,2024-08,37
Харківська,2024-08,1
Харківська область,2024-08,26
Херсонська область,2024-08,13
Хмельницька область,2024-08,4
Черкаська область,2024-08,12
Чернігівська область,2024-08,17
м. Київ,2024-08,1
Івано-Франківська область,2024-09,2
Волинська область,2024-09,1
Вінницька область,2024-09,2
Дніпропетровська область,2024-09,34
Донецька область,2024-09,14
Житомирська область,2024-09,4
Закарпатська область,2024-09,1
Запорізька область,2024-09,28
Київська область,2024-09,14
Кіровоградська область,2024-09,10
Львівська область,2024-09,1
Миколаївська область,2024-09,7
Одеська область,2024-09,8
Полтавська область,2024-09,34
Сумська область,2024-09,25
Тернопільська область,2024-09,1
Харківська область,2024-09,37
Херсонська область,2024-09,9
Хмельницька область,2024-09,1
Черкаська область,2024-09,12
Чернівецька область,2024-09,1
Чернігівська область,2024-09,14
м. Київ,2024-09,4
Вінницька область,2024-10,3
Дніпропетровська область,2024-10,17
Донецька область,2024-10,10
Житомирська область,2024-10,2
Запорізька область,2024-10,15
Київська область,2024-10,9
Кіровоградська область,2024-10,7
Миколаївська область,2024-10,7
Одеська область,2024-10,12
Полтавська область,2024-10,10
Сумська область,2024-10,20
Тернопільська область,2024-10,2
Харківська область,2024-10,21
Херсонська область,2024-10,4
Хмельницька область,2024-10,2
Черкаська область,2024-10,7
Чернівецька область,2024-10,1
Чернігівська область,2024-10,11
Івано-Франківська область,2024-11,2
Волинська область,2024-11,2
Вінницька область,2024-11,3
Дніпропетровська,2024-11,1
Дніпропетровська область,2024-11,17
Донецька область,2024-11,13
Житомирська область,2024-11,11
Запорізька область,2024-11,18
Київська область,2024-11,14
Кіровоградська область,2024-11,7
Львівська область,2024-11,1
Миколаївська область,2024-11,10
Одеська область,2024-11,11
Полтавська,2024-11,1
Полтавська область,2024-11,15
Рівненська область,2024-11,3
Сумська область,2024-11,18
Тернопільська область,2024-11,2
Харківська область,2024-11,20
Херсонська,2024-11,1
Херсонська область,2024-11,5
Хмельницька область,2024-11,5
Черкаська область,2024-11,11
Чернівецька область,2024-11,1
Чернігівська,2024-11,1
Чернігівська область,2024-11,17
Волинська область,2024-12,1
Вінницька область,2024-12,1
Дніпропетровська область,2024-12,16
Донецька область,2024-12,7
Житомирська область,2024-12,4
Запорізька область,2024-12,6
Київська,2024-12,1
Київська область,2024-12,8
Кіровоградська область,2024-12,5
Миколаївська область,2024-12,9
Одеська,2024-12,1
Одеська область,2024-12,5
Полтавська,2024-12,1
Полтавська область,2024-12,14
Сумська область,2024-12,16
Харківська,2024-12,1
Харківська область,2024-12,20
Херсонська область,2024-12,6
Хмельницька область,2024-12,3
Черкаська область,2024-12,6
Чернігівська область,2024-12,5
м. Київ,2024-12,1
Вінницька область,2025-01,1
Дніпропетровська,2025-01,1
Дніпропетровська область,2025-01,18
Донецька область,2025-01,11
Запорізька область,2025-01,16
Київська область,2025-01,1
Кіровоградська область,2025-01,4
Миколаївська область,2025-01,6
Одеська область,2025-01,5
Полтавська область,2025-01,6
Сумська область,2025-01,7
Тернопільська область,2025-01,1
Харківська область,2025-01,14
Херсонська область,2025-01,5
Хмельницька область,2025-01,1
Черкаська область,2025-01,3
Чернівецька область,2025-01,1
Чернігівська область,2025-01,10
Вінницька область,2025-02,1
Дніпропетровська область,2025-02,25
Донецька область,2025-02,7
Житомирська область,2025-02,3
Запорізька область,2025-02,14
Київська,2025-02,1
Київська область,2025-02,9
Кіровоградська,2025-02,1
Кіровоградська область,2025-02,7
Луганська,2025-02,1
Миколаївська область,2025-02,7
Одеська область,2025-02,12
Полтавська область,2025-02,15
Сумська область,2025-02,15
Харківська область,2025-02,21
Херсонська область,2025-02,6
Черкаська,2025-02,1
Черкаська область,2025-02,6
Чернігівська область,2025-02,9
м. Київ,2025-02,2
Вінницька область,2025-03,1
Дніпропетровська,2025-03,1
Дніпропетровська область,2025-03,19
Донецька область,2025-03,14
Житомирська область,2025-03,1
Запорізька область,2025-03,15
Київська область,2025-03,6
Миколаївська область,2025-03,3
Одеська область,2025-03,5
Полтавська,2025-03,1
Полтавська область,2025-03,11
Рівненська область,2025-03,1
Сумська область,2025-03,14
Тернопільська область,2025-03,1
Харківська область,2025-03,15
Херсонська область,2025-03,5
Хмельницька область,2025-03,1
Черкаська область,2025-03,3
Чернігівська область,2025-03,10
Дніпропетровська область,2025-04,9
Донецька область,2025-04,9
Житомирська область,2025-04,2
Запорізька область,2025-04,10
Київська область,2025-04,7
Кіровоградська область,2025-04,2
Луганська область,2025-04,1
Миколаївська область,2025-04,6
Одеська область,2025-04,6
Полтавська область,2025-04,3
Сумська область,2025-04,13
Харківська область,2025-04,18
Херсонська область,2025-04,3
Хмельницька область,2025-04,1
Черкаська область,2025-04,2
Чернігівська область,2025-04,6
Дніпропетровська область,2025-05,5
Донецька область,2025-05,6
Запорізька область,2025-05,7
Київська область,2025-05,2
Миколаївська область,2025-05,5
Одеська область,2025-05,6
Полтавська область,2025-05,3
Сумська область,2025-05,6
Харківська область,2025-05,13
Херсонська область,2025-05,3
Чернігівська область,2025-05,4
Волинська,2025-06,1
Вінницька область,2025-06,1
Дніпропетровська область,2025-06,7
Донецька область,2025-06,9
Житомирська область,2025-06,1
Запорізька область,2025-06,11
Київська область,2025-06,7
Кіровоградська область,2025-06,2
Львівська,2025-06,2
Львівська область,2025-06,1
Миколаївська область,2025-06,7
Одеська область,2025-06,6
Полтавська область,2025-06,3
Сумська область,2025-06,17
Тернопільська область,2025-06,2
Харківська область,2025-06,15
Херсонська область,2025-06,4
Хмельницька область,2025-06,2
Черкаська область,2025-06,1
Чернігівська область,2025-06,9
м. Київ,2025-06,1
Вінницька область,2025-07,1
Дніпропетровська область,2025-07,8
Донецька область,2025-07,3
