settlement,oblast,raion,lat,lon,month,weapon_class,jet_count,mentions
Васильків,Київська,Обухівський,50.17387,30.32158,2022-02,,0,1
Коблеве,Миколаївська,Миколаївський,46.6612599,31.2085145,2022-02,,0,1
Коблеве,Миколаївська,Миколаївський,46.6612599,31.2085145,2022-02,cruise,0,1
Ізюм,Харківська,Ізюмський,49.1913721,37.2784125,2022-03,,0,1
Ізюм,Харківська,Ізюмський,49.1913721,37.2784125,2022-03,ballistic,0,1
Ізюм,Харківська,Ізюмський,49.1913721,37.2784125,2022-03,drone,0,1
Беседівка,Сумська,Роменський,50.809021,33.767509,2022-03,ballistic,0,1
Верхнів,Волинська,Володимир-Волинський,50.751942,24.082321,2022-03,,0,1
Веселе,Харківська,Ізюмський,49.39625,37.05036,2022-03,drone,0,1
Волноваха,Донецька,Волноваський,47.5984285,37.4998511,2022-03,,0,1
Волноваха,Донецька,Волноваський,47.5984285,37.4998511,2022-03,cruise,0,1
Гадяч,Полтавська,Миргородський,50.3701299,33.9950534,2022-03,,0,1
Гомельське,Дніпропетровська,Криворізький,48.0477159,33.4276509,2022-03,ballistic,0,1
Дніпро,Дніпропетровська,Дніпровський,48.4680221,35.0417711,2022-03,cruise,0,1
Залісся,Волинська,Камінь-Каширський,51.469231,24.88472,2022-03,,0,1
Кам'янка,Волинська,Ковельський,51.4909494,23.9219323,2022-03,drone,0,1
Капитолівка,Харківська,Ізюмський,49.173799,37.4273429,2022-03,,0,1
Київ,м. Київ,,50.4501,30.5234,2022-03,,0,1
Київ,м. Київ,,50.4501,30.5234,2022-03,drone,0,2
Красностав,Волинська,Володимир-Волинський,50.926411,24.38899,2022-03,,0,1
Кропивницький,Кіровоградська,Кропивницький,48.5105805,32.2656283,2022-03,,0,1
Кулішеве,Дніпропетровська,Дніпровський,48.7120245,34.6240969,2022-03,,0,1
Лисичанськ,Луганська,Сєвєродонецький,48.917267,38.4285981,2022-03,,0,1
Макарів,Київська,Бучанський,50.4639897,29.8068986,2022-03,,0,1
Мала Глуша,Волинська,Камінь-Каширський,51.6271153,24.961357,2022-03,,0,1
Маріуполь,Донецька,Маріупольський,47.0957648,37.5499621,2022-03,drone,0,1
Марія-Воля,Волинська,Володимир-Волинський,50.801533,24.337662,2022-03,,0,1
Микове,Волинська,Луцький,50.8333448,25.4648622,2022-03,,0,1
Нова Руда,Волинська,Камінь-Каширський,51.2908106,25.537878,2022-03,drone,0,1
Новий Двір,Волинська,Ковельський,51.08299,24.52389,2022-03,,0,1
Одеса,Одеська,Одеський,46.4843023,30.7322878,2022-03,cruise,0,1
Ольгинка,Донецька,Волноваський,47.6976728,37.5003415,2022-03,,0,1
Охтирка,Сумська,Охтирський,50.3115386,34.8868923,2022-03,,0,1
Попасна,Луганська,Сєвєродонецький,48.6322687,38.3777033,2022-03,,0,1
Росішки,Дніпропетровська,Синельниківський,48.45863,36.42483,2022-03,ballistic,0,1
Рубіжне,Луганська,Сєвєродонецький,49.0329045,38.3725819,2022-03,,0,1
Северинівка,Волинська,Камінь-Каширський,51.2908106,25.537878,2022-03,,0,2
Словатичі,Волинська,Луцький,50.8333448,25.4648622,2022-03,,0,1
Словатичі,Волинська,Луцький,50.8333448,25.4648622,2022-03,drone,0,1
Стара Вижівка,Волинська,Ковельський,51.4422955,24.438565,2022-03,,0,1
Суми,Сумська,Сумський,50.9119775,34.8027723,2022-03,,0,1
Сєверне,Донецька,Горлівський,48.0220754,38.7634612,2022-03,,0,1
Тихотин,Волинська,Луцький,50.916332,25.2712543,2022-03,drone,0,1
Українка,Харківська,Ізюмський,49.39625,37.05036,2022-03,ballistic,0,1
Фастів,Київська,Фастівський,50.0799307,29.9162821,2022-03,,0,1
Харкове,Запорізька,Пологівський,47.2557432,35.7021159,2022-03,,0,1
Чернігів,Чернігівська,Чернігівський,51.494099,31.294332,2022-03,,0,1
Чорноплеси,Волинська,Ковельський,51.2234546,24.0315783,2022-03,,0,1
Яворів,Львівська,Яворівський,49.9456001,23.3886319,2022-03,cruise,0,1
Авдіївка,Донецька,Покровський,48.1338824,37.7466719,2022-04,cruise,0,1
Донецьк,Донецька,Донецький,48.0158753,37.8013407,2022-04,,1,1
Діброва,Волинська,Камінь-Каширський,51.7632795,25.5048264,2022-04,cruise,0,1
Запоківне,Волинська,Ковельський,51.67145,24.52458,2022-04,,1,1
Золота Нива,Донецька,Волноваський,47.84091,36.83012,2022-04,drone,0,1
Маріуполь,Донецька,Маріупольський,47.0957648,37.5499621,2022-04,,0,1
Нововолинськ,Волинська,Володимир-Волинський,50.7224829,24.1648399,2022-04,,1,1
Олександрівка,Волинська,Луцький,50.8798116,25.2230391,2022-04,,0,2
Осокорівка,Дніпропетровська,Синельниківський,48.1009562,35.5171714,2022-04,,0,1
Сватове,Луганська,Сватівський,49.4176663,38.1456729,2022-04,drone,1,1
Северинівка,Волинська,Камінь-Каширський,51.2908106,25.537878,2022-04,,0,1
Сулигівка,Харківська,Ізюмський,49.173799,37.4273429,2022-04,cruise,0,1
Українка,Київська,Обухівський,50.1537167,30.7420742,2022-04,,0,2
Ізюм,Харківська,Ізюмський,49.1913721,37.2784125,2022-05,cruise,1,1
Авдіївка,Донецька,Покровський,48.1338824,37.7466719,2022-05,,0,1
Васильків,Київська,Обухівський,50.17387,30.32158,2022-05,,0,1
Гуляйполе,Запорізька,Пологівський,47.6655382,36.2656849,2022-05,,1,1
Давидівка,Луганська,Ровеньківський,48.1790971,38.8818684,2022-05,drone,1,1
Держанівка,Вінницька,Хмільницький,49.77356,28.72891,2022-05,ballistic,1,1
Довгоноси,Волинська,Ковельський,51.18633,24.61933,2022-05,,0,1
Довгоноси,Волинська,Ковельський,51.18633,24.61933,2022-05,drone,0,1
Зеленолужне,Волинська,Луцький,50.4986166,24.7600734,2022-05,drone,1,1
Київ,м. Київ,,50.4501,30.5234,2022-05,,0,1
Комишуваха,Запорізька,Запорізький,47.7141975,35.5322725,2022-05,,1,1
Комишуваха,Запорізька,Запорізький,47.7141975,35.5322725,2022-05,drone,1,1
Марія-Воля,Волинська,Володимир-Волинський,50.801533,24.337662,2022-05,,1,1
Марія-Воля,Волинська,Володимир-Волинський,50.801533,24.337662,2022-05,ballistic,0,1
Нововолинськ,Волинська,Володимир-Волинський,50.7224829,24.1648399,2022-05,drone,1,1
Олександрівка,Волинська,Луцький,50.8798116,25.2230391,2022-05,cruise,1,1
Попасна,Луганська,Сєвєродонецький,48.6322687,38.3777033,2022-05,cruise,1,1
Попасна,Луганська,Сєвєродонецький,48.6322687,38.3777033,2022-05,drone,0,1
Рубіжне,Луганська,Сєвєродонецький,49.0329045,38.3725819,2022-05,,0,1
Рубіжне,Луганська,Сєвєродонецький,49.0329045,38.3725819,2022-05,drone,1,1
Северинівка,Волинська,Камінь-Каширський,51.2908106,25.537878,2022-05,cruise,1,1
Сенкевичівка,Волинська,Луцький,50.5831266,25.0807256,2022-05,drone,0,1
Сіверськ,Донецька,Бахмутський,48.8676267,38.0902435,2022-05,,1,1
Тошківка,Луганська,Сєвєродонецький,48.7395184,38.4919701,2022-05,cruise,1,1
Устилуг,Волинська,Володимир-Волинський,50.8622192,24.1505139,2022-05,,0,1
Яковичі,Волинська,Володимир-Волинський,50.801533,24.337662,2022-05,drone,1,1
Ізюм,Харківська,Ізюмський,49.1913721,37.2784125,2022-06,drone,0,1
Берестечко,Волинська,Луцький,50.3585756,25.1209852,2022-06,cruise,2,3
Боголюби,Волинська,Луцький,50.7450733,25.320078,2022-06,cruise,1,1
Боровуха,Волинська,Ковельський,51.865421,24.61659,2022-06,,1,1
Василівка,Запорізька,Василівський,47.4431859,35.2803026,2022-06,drone,1,1
Вовчицьк,Волинська,Камінь-Каширський,51.2908106,25.537878,2022-06,,1,1
Вовчицьк,Волинська,Камінь-Каширський,51.2908106,25.537878,2022-06,cruise,1,1
Врубівка,Луганська,Сєвєродонецький,48.6322687,38.3777033,2022-06,cruise,1,1
Вуглегірськ,Донецька,Горлівський,48.3119524,38.2609048,2022-06,cruise,1,1
Гудове,Сумська,Шосткинський,51.575661,34.099838,2022-06,,1,1
Держанівка,Вінницька,Хмільницький,49.77356,28.72891,2022-06,cruise,2,2
Довгоноси,Волинська,Ковельський,51.18633,24.61933,2022-06,cruise,3,4
Клинове,Донецька,Бахмутський,48.5894123,38.0020994,2022-06,,1,1
Клинове,Донецька,Бахмутський,48.5894123,38.0020994,2022-06,cruise,1,1
Лиман,Донецька,Краматорський,48.9801314,37.8168012,2022-06,cruise,1,1
Лисичанськ,Луганська,Сєвєродонецький,48.917267,38.4285981,2022-06,cruise,4,5
Лозове,Хмельницька,Хмельницький,49.2688322,27.4327085,2022-06,cruise,0,1
Мазанівка,Донецька,Краматорський,49.0355675,37.5653551,2022-06,cruise,1,1
Мар'їнка,Донецька,Покровський,47.9401242,37.5022312,2022-06,drone,1,1
Марія-Воля,Волинська,Володимир-Волинський,50.801533,24.337662,2022-06,cruise,1,2
Метьолкіне,Луганська,Сєвєродонецький,48.9478698,38.4936475,2022-06,,1,1
Мировичі,Волинська,Ковельський,51.08299,24.52389,2022-06,cruise,0,1
Мідна Руда,Донецька,Бахмутський,48.5894123,38.0020994,2022-06,cruise,1,1
Нью-Йорк,Донецька,Бахмутський,48.3970469,37.8501378,2022-06,cruise,1,1
Очаків,Миколаївська,Миколаївський,46.6145957,31.5452994,2022-06,cruise,1,1
Петрове,Волинська,Володимир-Волинський,50.751942,24.082321,2022-06,cruise,1,1
Пилипчатине,Донецька,Бахмутський,48.6948731,38.0627964,2022-06,cruise,1,1
Покровськ,Донецька,Покровський,48.2771086,37.1772482,2022-06,cruise,1,1
Святогірськ,Донецька,Краматорський,49.0355675,37.5653551,2022-06,ballistic,1,1
Святогірськ,Донецька,Краматорський,49.0355675,37.5653551,2022-06,cruise,1,1
Северинівка,Волинська,Камінь-Каширський,51.2908106,25.537878,2022-06,cruise,1,1
Сіверськ,Донецька,Бахмутський,48.8676267,38.0902435,2022-06,drone,1,1
Іваничі,Волинська,Володимир-Волинський,50.6407709,24.3619629,2022-07,cruise,1,1
Іваничі,Волинська,Володимир-Волинський,50.6407709,24.3619629,2022-07,drone,1,1
Ізюм,Харківська,Ізюмський,49.1913721,37.2784125,2022-07,cruise,1,1
Авдіївка,Донецька,Покровський,48.1338824,37.7466719,2022-07,,1,1
Авдіївка,Донецька,Покровський,48.1338824,37.7466719,2022-07,cruise,1,1
Боголюби,Волинська,Луцький,50.7450733,25.320078,2022-07,drone,2,2
Бражине,Донецька,Горлівський,48.0220754,38.7634612,2022-07,cruise,1,1
Брусилів,Житомирська,Житомирський,50.28305,29.51889,2022-07,drone,1,1
Білопіль,Волинська,Володимир-Волинський,50.738946,24.6482949,2022-07,,1,1
Білопіль,Волинська,Володимир-Волинський,50.738946,24.6482949,2022-07,drone,1,1
Верхнів,Волинська,Володимир-Волинський,50.751942,24.082321,2022-07,cruise,2,2
Верхнів,Волинська,Володимир-Волинський,50.751942,24.082321,2022-07,drone,3,3
Веселе,Волинська,Луцький,50.769734,25.010768,2022-07,cruise,1,1
Вовковинці,Хмельницька,Хмельницький,49.2073568,27.6559732,2022-07,cruise,1,1
Вуглегірськ,Донецька,Горлівський,48.3119524,38.2609048,2022-07,cruise,3,3
Вуглегірськ,Донецька,Горлівський,48.3119524,38.2609048,2022-07,drone,2,2
Вугледар,Донецька,Волноваський,47.7805058,37.2484374,2022-07,drone,1,1
Григоровичі,Волинська,Луцький,50.5831266,25.0807256,2022-07,cruise,1,1
Гусарівка,Житомирська,Коростенський,51.337784,28.897268,2022-07,cruise,1,1
Дементіївка,Харківська,Харківський,50.107307,36.1205965,2022-07,cruise,2,2
Дементіївка,Харківська,Харківський,50.107307,36.1205965,2022-07,drone,1,1
Доломітне,Донецька,Бахмутський,48.43803,38.22349,2022-07,,1,1
Зілове,Волинська,Ковельський,51.229557,24.3449012,2022-07,drone,1,1
