settlement_name,settlement_type,hromada_name,raion_name,oblast_name,lat_center,lon_center,rank,is_center,coord_src,coord_src
Вінниця,місто,Вінницька,Вінницький,Вінницька,49.233118,28.468231,0,1,settlement,settlement
Гнівань,місто,Гніванська,Вінницький,Вінницька,49.091057,28.348567,0,1,settlement,settlement
Іллінці,місто,Іллінецька,Вінницький,Вінницька,49.105096,29.208434,0,1,settlement,settlement
Липовець,місто,Липовецька,Вінницький,Вінницька,49.226529,29.062314,0,1,settlement,settlement
Немирів,місто,Немирівська,Вінницький,Вінницька,48.979415,28.843772,0,1,settlement,settlement
Погребище,місто,Погребищенська,Вінницький,Вінницька,49.487026,29.273400,0,1,settlement,settlement
Бершадь,місто,Бершадська,Гайсинський,Вінницька,48.372785,29.525378,0,1,settlement,settlement
Гайсин,місто,Гайсинська,Гайсинський,Вінницька,48.810963,29.388438,0,1,settlement,settlement
Ладижин,місто,Ладижинська,Гайсинський,Вінницька,48.689781,29.241573,0,1,settlement,settlement
Бар,місто,Барська,Жмеринський,Вінницька,49.074948,27.683131,0,1,settlement,settlement
Жмеринка,місто,Жмеринська,Жмеринський,Вінницька,49.042485,28.099266,0,1,settlement,settlement
Шаргород,місто,Шаргородська,Жмеринський,Вінницька,48.753278,28.082468,0,1,settlement,settlement
Могилів-Подільський,місто,Могилів-Подільська,Могилів-Подільський,Вінницька,48.446475,27.803670,0,1,settlement,settlement
Ямпіль,місто,Ямпільська,Могилів-Подільський,Вінницька,48.245053,28.277878,0,1,settlement,settlement
Тульчин,місто,Тульчинська,Тульчинський,Вінницька,48.673357,28.854642,0,1,settlement,settlement
Калинівка,місто,Калинівська,Хмільницький,Вінницька,49.447150,28.523091,0,1,settlement,settlement
Козятин,місто,Козятинська,Хмільницький,Вінницька,49.721124,28.834151,0,1,settlement,settlement
Хмільник,місто,Хмільницька,Хмільницький,Вінницька,49.558149,27.956129,0,1,settlement,settlement
Володимир,місто,Володимир-Волинська,Володимир-Волинський,Волинська,50.8474669,24.319319,0,1,hromada,hromada
Нововолинськ,місто,Нововолинська,Володимир-Волинський,Волинська,50.736616,24.162471,0,1,settlement,settlement
Устилуг,місто,Устилузька,Володимир-Волинський,Волинська,50.859872,24.157036,0,1,settlement,settlement
Камінь-Каширський,місто,Камінь-Каширська,Камінь-Каширський,Волинська,51.619933,24.965143,0,1,settlement,settlement
Ковель,місто,Ковельська,Ковельський,Волинська,51.213341,24.710057,0,1,settlement,settlement
Любомль,місто,Любомльська,Ковельський,Волинська,51.223704,24.032782,0,1,settlement,settlement
Берестечко,місто,Берестечківська,Луцький,Волинська,50.357185,25.112017,0,1,settlement,settlement
Горохів,місто,Горохівська,Луцький,Волинська,50.499340,24.764962,0,1,settlement,settlement
Ківерці,місто,Ківерцівська,Луцький,Волинська,50.832938,25.461480,0,1,settlement,settlement
Луцьк,місто,Луцька,Луцький,Волинська,50.747304,25.325412,0,1,settlement,settlement
Рожище,місто,Рожищенська,Луцький,Волинська,50.913024,25.270094,0,1,settlement,settlement
Дніпро,місто,Дніпровська,Дніпровський,Дніпропетровська,48.464717,35.046181,0,1,settlement,settlement
Підгородне,місто,Підгородненська,Дніпровський,Дніпропетровська,48.574922,35.102343,0,1,settlement,settlement
Верхівцеве,місто,Верхівцівська,Кам’янський,Дніпропетровська,48.485240,34.253795,0,1,settlement,settlement
Верхньодніпровськ,місто,Верхньодніпровська,Кам’янський,Дніпропетровська,48.642625,34.340168,0,1,settlement,settlement
Вільногірськ,місто,Вільногірська,Кам’янський,Дніпропетровська,48.465063,34.013513,0,1,settlement,settlement
Жовті Води,місто,Жовтоводська,Кам’янський,Дніпропетровська,48.345378,33.509056,0,1,settlement,settlement
Кам’янське,місто,Кам’янська,Кам’янський,Дніпропетровська,48.5167748,34.6068797,0,1,hromada,hromada
П’ятихатки,місто,П’ятихатська,Кам’янський,Дніпропетровська,48.4124318,33.7016613,0,1,hromada,hromada
Апостолове,місто,Апостолівська,Криворізький,Дніпропетровська,47.659386,33.734200,0,1,settlement,settlement
Зеленодольськ,місто,Зеленодольська,Криворізький,Дніпропетровська,47.568417,33.647639,0,1,settlement,settlement
Кривий Ріг,місто,Криворізька,Криворізький,Дніпропетровська,47.909016,33.394707,0,1,settlement,settlement
Марганець,місто,Марганецька,Нікопольський,Дніпропетровська,47.655137,34.622284,0,1,settlement,settlement
Нікополь,місто,Нікопольська,Нікопольський,Дніпропетровська,47.567457,34.394812,0,1,settlement,settlement
Покров,місто,Покровська,Нікопольський,Дніпропетровська,47.665740,34.062247,0,1,settlement,settlement
Новомосковськ,місто,Новомосковська,Новомосковський,Дніпропетровська,48.637915,35.228772,0,1,settlement,settlement
Перещепине,місто,Перещепинська,Новомосковський,Дніпропетровська,49.014231,35.365092,0,1,settlement,settlement
Павлоград,місто,Павлоградська,Павлоградський,Дніпропетровська,48.531422,35.869532,0,1,settlement,settlement
Тернівка,місто,Тернівська,Павлоградський,Дніпропетровська,48.524561,36.082370,0,1,settlement,settlement
Першотравенськ,місто,Першотравенська,Синельниківський,Дніпропетровська,48.347444,36.400149,0,1,settlement,settlement
Синельникове,місто,Синельниківська,Синельниківський,Дніпропетровська,48.317417,35.515739,0,1,settlement,settlement
Бахмут,місто,Бахмутська,Бахмутський,Донецька,48.591419,37.985927,0,1,settlement,settlement
Світлодарськ,місто,Світлодарська,Бахмутський,Донецька,48.43803,38.22349,0,1,hromada,hromada
Сіверськ,місто,Сіверська,Бахмутський,Донецька,48.863106,38.097219,0,1,settlement,settlement
Соледар,місто,Соледарська,Бахмутський,Донецька,48.687247,38.071347,0,1,settlement,settlement
Торецьк,місто,Торецька,Бахмутський,Донецька,48.395787,37.845969,0,1,settlement,settlement
Часів Яр,місто,Часовоярська,Бахмутський,Донецька,48.587950,37.831942,0,1,settlement,settlement
Волноваха,місто,Волноваська,Волноваський,Донецька,47.597907,37.483508,0,1,settlement,settlement
Вугледар,місто,Вугледарська,Волноваський,Донецька,47.779092,37.248266,0,1,settlement,settlement
Вуглегірськ,місто,Вуглегірська,Горлівський,Донецька,48.3119524,38.2609048,0,1,hromada,hromada
Горлівка,місто,Горлівська,Горлівський,Донецька,48.3058686,38.0027664,0,1,hromada,hromada
Дебальцеве,місто,Дебальцівська,Горлівський,Донецька,48.3331084,38.4047549,0,1,hromada,hromada
Єнакієве,місто,Єнакієвська,Горлівський,Донецька,48.2305107,38.185045,0,1,hromada,hromada
Жданівка,місто,Жданівська,Горлівський,Донецька,48.1570316,38.2565049,0,1,hromada,hromada
Сніжне,місто,Сніжнянська,Горлівський,Донецька,48.0220754,38.7634612,0,1,hromada,hromada
Хрестівка,місто,Хрестівська,Горлівський,Донецька,48.1456309,38.3545249,0,1,hromada,hromada
Чистякове,місто,Чистяківська,Горлівський,Донецька,48.0261217,38.618137,0,1,hromada,hromada
Шахтарськ,місто,Шахтарська,Горлівський,Донецька,48.0550423,38.4459474,0,1,hromada,hromada
Амвросіївка,місто,Амвросіївська,Донецький,Донецька,47.7952806,38.4798317,0,1,hromada,hromada
Донецьк,місто,Донецька,Донецький,Донецька,48.0158753,37.8013407,0,1,hromada,hromada
Іловайськ,місто,Іловайська,Донецький,Донецька,47.9248328,38.1976205,0,1,hromada,hromada
Макіївка,місто,Макіївська,Донецький,Донецька,48.0448144,37.9635093,0,1,hromada,hromada
Харцизьк,місто,Харцизька,Донецький,Донецька,48.0339524,38.149804,0,1,hromada,hromada
Ясинувата,місто,Ясинуватська,Донецький,Донецька,48.1270606,37.8590172,0,1,hromada,hromada
Докучаєвськ,місто,Докучаєвська,Кальміуський,Донецька,47.7499257,37.6715943,0,1,hromada,hromada
Кальміуське,місто,Кальміуська,Кальміуський,Донецька,47.6687951,38.0739208,0,1,hromada,hromada
Новоазовськ,місто,Новоазовська,Кальміуський,Донецька,47.1138718,38.0830911,0,1,hromada,hromada
Дружківка,місто,Дружківська,Краматорський,Донецька,48.627263,37.546579,0,1,settlement,settlement
Костянтинівка,місто,Костянтинівська,Краматорський,Донецька,48.526691,37.704206,0,1,settlement,settlement
Краматорськ,місто,Краматорська,Краматорський,Донецька,48.725756,37.543785,0,1,settlement,settlement
